5227	441	0.0	3	92.0	0.2
5227	566	84.4	7	89.1	0.2
5227	589	92.2	2	89.5	0.2
5227	949	0.0	7	67.9	0.0
5227	1247	78.5	3	90.3	0.3
5227	1272	83.8	2	93.5	0.9
5227	1297	0.0	5	75.3	0.8
5227	1302	0.0	0	84.1	0.8
5227	1319	71.0	2	91.6	1.8
5227	1575	0.0	6	95.3	1.4
5227	1672	71.6	2	92.2	0.0
5227	1687	71.3	2	94.2	0.7
5227	1862	74.4	2	88.5	0.3
5227	1879	0.0	14	83.8	0.3
5227	1886	83.2	2	91.2	0.3
5227	1976	47.9	6	90.3	0.3
5227	2197	65.1	5	92.5	0.0
5227	2224	82.5	2	90.3	0.3
5227	2273	0.0	4	91.1	2.2
5227	2416	0.0	2	90.1	6.1
